39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male
31, Private,309974, Bachelors,13, Separated, Sales, Own-child, Black, Female
29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male
23, Private,211678, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male
79, Private,124744, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male
27, Private,213921, HS-grad,9, Never-married, Other-service, Own-child, White, Male
40, Private,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male
67, ?,212759, 10th,6, Married-civ-spouse, ?, Husband, White, Male
18, Private,309634, 11th,7, Never-married, Other-service, Own-child, White, Female
31, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male
18, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family, White, Male
52, Private,276515, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male
46, Private,51618, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female
59, Private,159937, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male
44, Private,343591, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female
53, Private,346253, HS-grad,9, Divorced, Sales, Own-child, White, Female
49, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male
33, Private,202051, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male
30, Private,54334, 9th,5, Never-married, Sales, Not-in-family, White, Male
43, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female
57, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male
37, Private,286730, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female
28, Private,212563, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female
30, Private,117747, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female
34, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male
29, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male
48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male
37, Private,202683, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male
48, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female
32, Federal-gov,249409, HS-grad,9, Never-married, Other-service, Own-child, Black, Male
