39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family
32, ?,293936, 7th-8th,4, Married-spouse-absent, ?, Not-in-family
48, Private,149640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband
42, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband
29, Private,105598, Some-college,10, Divorced, Tech-support, Not-in-family
36, Private,155537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband
28, Private,183175, Some-college,10, Divorced, Adm-clerical, Not-in-family
53, Private,169846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife
49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband
25, ?,200681, Some-college,10, Never-married, ?, Own-child
19, Private,101509, Some-college,10, Never-married, Prof-specialty, Own-child
31, Private,309974, Bachelors,13, Separated, Sales, Own-child
29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband
23, Private,211678, Some-college,10, Never-married, Machine-op-inspct, Not-in-family
79, Private,124744, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative
27, Private,213921, HS-grad,9, Never-married, Other-service, Own-child
40, Private,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband
67, ?,212759, 10th,6, Married-civ-spouse, ?, Husband
18, Private,309634, 11th,7, Never-married, Other-service, Own-child
31, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband
18, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family
52, Private,276515, Bachelors,13, Married-civ-spouse, Other-service, Husband
46, Private,51618, HS-grad,9, Married-civ-spouse, Other-service, Wife
59, Private,159937, HS-grad,9, Married-civ-spouse, Sales, Husband
44, Private,343591, HS-grad,9, Divorced, Craft-repair, Not-in-family
53, Private,346253, HS-grad,9, Divorced, Sales, Own-child
49, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband
33, Private,202051, Masters,14, Married-civ-spouse, Prof-specialty, Husband
30, Private,54334, 9th,5, Never-married, Sales, Not-in-family
43, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family
57, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband
37, Private,286730, Some-college,10, Divorced, Craft-repair, Unmarried
28, Private,212563, Some-college,10, Divorced, Machine-op-inspct, Unmarried
30, Private,117747, HS-grad,9, Married-civ-spouse, Sales, Wife
34, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband
29, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family
48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband
37, Private,202683, Some-college,10, Married-civ-spouse, Sales, Husband
48, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried
32, Federal-gov,249409, HS-grad,9, Never-married, Other-service, Own-child
