39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
44, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried, White
41, State-gov,101603, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
29, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White
25, Private,32275, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other
18, Private,226956, HS-grad,9, Never-married, Other-service, Own-child, White
47, Private,51835, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White
50, Federal-gov,251585, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
47, Self-emp-inc,109832, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
43, Private,237993, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
46, Private,216666, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White
35, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White
41, Private,147372, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
30, Private,188146, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
30, Private,59496, Bachelors,13, Married-civ-spouse, Sales, Husband, White
32, ?,293936, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White
48, Private,149640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
42, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
29, Private,105598, Some-college,10, Divorced, Tech-support, Not-in-family, White
36, Private,155537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
28, Private,183175, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
53, Private,169846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
25, ?,200681, Some-college,10, Never-married, ?, Own-child, White
19, Private,101509, Some-college,10, Never-married, Prof-specialty, Own-child, White
31, Private,309974, Bachelors,13, Separated, Sales, Own-child, Black
29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband, White
23, Private,211678, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White
79, Private,124744, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White
27, Private,213921, HS-grad,9, Never-married, Other-service, Own-child, White
40, Private,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White
67, ?,212759, 10th,6, Married-civ-spouse, ?, Husband, White
18, Private,309634, 11th,7, Never-married, Other-service, Own-child, White
31, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White
18, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family, White
52, Private,276515, Bachelors,13, Married-civ-spouse, Other-service, Husband, White
46, Private,51618, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
59, Private,159937, HS-grad,9, Married-civ-spouse, Sales, Husband, White
44, Private,343591, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
53, Private,346253, HS-grad,9, Divorced, Sales, Own-child, White
49, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
33, Private,202051, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
30, Private,54334, 9th,5, Never-married, Sales, Not-in-family, White
43, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
57, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White
37, Private,286730, Some-college,10, Divorced, Craft-repair, Unmarried, White
28, Private,212563, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black
30, Private,117747, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander
34, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White
29, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White
48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
37, Private,202683, Some-college,10, Married-civ-spouse, Sales, Husband, White
48, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White
32, Federal-gov,249409, HS-grad,9, Never-married, Other-service, Own-child, Black
